Time,Actual_Power,Pred_24h,Lower_24h,Upper_24h,Sigma_24h,Pred_4h,Lower_4h,Upper_4h,Sigma_4h
2019-10-22 21:15:00-08:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-22 21:30:00-08:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-22 21:45:00-08:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-22 22:00:00-08:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-22 22:15:00-08:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-22 22:30:00-08:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-22 22:45:00-08:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-22 23:00:00-08:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-22 23:15:00-08:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-22 23:30:00-08:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-22 23:45:00-08:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
