Regime,Actual_Power_Fixed,Pred_Ridge,Pred_RandomForest,Pred_XGBoost,Pred_MLP,Pred_LSTM,Pred_CNN,Pred_PiT-Net(Proposed)
Clear Sky,13.920941433466666,14.599864383134973,14.034730510951814,13.940042,14.961109,14.156225,13.866182,13.15706378490528
Clear Sky,13.932727606,12.846182144586011,13.007959275880884,12.836981,15.113645,13.893808,12.705525,13.030993565722074
Clear Sky,13.968166036,13.6512123485225,12.598207589924506,13.80864,13.875142,13.458893,12.749421,13.981018028602724
Clear Sky,13.992172936,13.072206461245248,12.826825914405193,13.454948,14.61799,13.7509575,12.983338,12.930803718827772
Clear Sky,14.055498699249114,14.353443045510614,14.550927685995848,12.924521,14.591649,13.729928,14.488056,13.5748736650202
Clear Sky,14.083063349333337,12.997259354828108,13.92713119070326,14.413225,15.536889,14.113855,13.27373,13.353169354184372
Clear Sky,14.086183222479162,14.5509559056562,14.230753766868816,14.429686,14.731861,14.709635,14.243219,13.79700810852779
Clear Sky,14.119726688666663,11.167161156835324,12.217243627086969,14.62655,13.960421,12.846422,11.2353525,14.07567600687956
Clear Sky,14.172958917333332,13.98977035134367,12.598207589924506,14.026486,14.194412,13.581487,12.838154,14.227222113483188
Clear Sky,14.174333850666669,12.759574506166908,13.112499070907363,14.03962,13.326983,12.927987,12.588937,13.76959907821018
Clear Sky,14.181593454,14.05566490680892,12.94197546454197,13.889939,14.753567,13.706654,11.547688,13.973532872047684
Clear Sky,14.211478602,13.851968337748003,12.598207589924506,14.55835,17.430054,12.274519,11.439637,14.505451896139885
Clear Sky,14.221420924,11.863251689284626,13.11527958447616,13.867799,15.551069,11.245492,12.690419,14.726217050545596
Clear Sky,14.226911694666668,13.764352889214804,12.598207589924506,13.832573,13.921724,13.628631,12.911921,13.777533771909964
Clear Sky,14.26126345203881,15.762122234816411,15.434716562338046,15.631449,15.523901,15.287016,17.062,15.59235159474341
Clear Sky,14.287322827333334,13.519400418298956,12.665262798337563,14.581592,13.008721,13.726583,12.328835,13.753484946827465
Clear Sky,14.29867352,14.08487939454393,13.162902914565478,14.062388,14.72268,11.517403,12.075934,13.761130203898022
Clear Sky,14.311475030692575,13.125698806906298,12.431693569769475,13.042705,11.807961,12.44614,12.811783,12.35714740382359
Clear Sky,14.311640212666669,12.801078204079548,13.818242742821829,12.556137,12.895041,11.211434,12.782058,12.584068349744726
Clear Sky,14.312070594666666,14.607535420514145,14.293752792614066,14.262763,14.807066,14.251002,14.082171,13.172745921178931
Clear Sky,14.315444906393862,14.5164742092825,14.293752792614066,14.734387,15.941428,15.448252,14.187627,14.35031929717536
Clear Sky,14.36807734410757,11.70575732792788,12.444053436670318,12.516532,13.599501,12.304595,12.283817,12.746421112225004
Clear Sky,14.377944202666669,13.495044508731292,12.818791517525364,13.364594,14.635008,14.505608,13.1870365,12.930363648429408
Clear Sky,14.384584139333334,15.038131579329889,14.148324651108108,14.3893,16.714104,14.291055,13.845094,13.75424023336044
Clear Sky,14.411816967333332,13.126013831518298,12.812335572679746,13.138163,14.97874,6.778723,12.330951,13.020757671400874
Clear Sky,14.430238625754598,8.660476144301251,11.407177297393524,8.838327,9.914888,4.874626,10.155387,11.388975454169875
Clear Sky,14.437826134666668,14.275937604991984,12.901053763117192,13.950528,13.6602,14.175376,12.73135,14.5069052611841
Clear Sky,14.444104133828937,11.10624729500286,11.147374608837216,9.92026,11.804004,10.975246,10.697657,11.449248468462576
Clear Sky,14.447448972666663,12.977283388055842,13.016073221925152,15.245045,14.697582,12.940858,14.432336,15.000759298215478
Clear Sky,14.475286241333334,14.747534344390033,14.00503583914828,15.107429,15.758972,15.767276,13.769124,13.595526538948128
Clear Sky,14.484460328666666,14.385703159551296,13.951607934539448,14.604542,15.01433,14.724531,14.279211,13.795805955058832
Clear Sky,14.502421058000545,15.815240879226485,15.366237827107872,15.575299,16.379305,15.6902075,15.658254,15.167347941473713
Clear Sky,14.584151026666666,9.539407625043523,12.533903078277191,12.797896,14.278091,10.775795,11.560799,12.774848641209829
Clear Sky,14.597682302,12.256726501988636,13.246565928754064,14.5170965,13.916202,11.72542,12.903707,14.94653801147194
Clear Sky,14.598593551333332,14.925319853047109,14.948438364249805,14.66448,14.456882,12.925241,14.012919,14.415722810068775
Clear Sky,14.608609581333331,12.898733114507662,13.007959275880884,13.293628,15.320164,14.479371,12.20372,13.242397356663272
Clear Sky,14.61357606,14.244417040864972,14.293752792614066,14.675788,15.544348,15.41947,14.455794,14.032698534630107
Clear Sky,14.628622647333335,13.972125681698977,12.598207589924506,13.929356,14.45115,13.127743,13.156271,14.25953732040875
Clear Sky,14.667651344349222,14.552133601570183,14.111928232088744,14.755315,15.228643,14.156396,13.647918,14.301243956936109
Clear Sky,14.674716824589462,12.017401743928897,12.177803251137338,13.007774,14.3172035,13.386688,10.343681,12.674749513934788
Clear Sky,14.679056748426738,15.678563485765196,15.397006449318958,15.462602,15.755255,15.629454,15.459809,15.044269386640872
Clear Sky,14.680808870188365,12.114856537784965,12.316386348778018,12.743952,13.042464,13.074811,12.092112,12.32741638497506
Clear Sky,14.708406112,14.82470189255628,14.293752792614066,14.734977,16.163063,14.563753,14.050428,13.486567384101097
Clear Sky,14.767104987333331,11.317687703693966,12.838638758761665,14.020338,13.22162,10.478977,10.790971,13.815765274120508
Clear Sky,14.772791689333332,13.125472291511423,12.873864800121368,13.94458,14.8246975,14.566797,13.751204,13.16521854859389
Clear Sky,14.773009401529617,7.014198485927835,10.245685023636998,10.480903,10.81813,9.454704,8.988152,9.194845726181578
Clear Sky,14.775101664,12.830091703942069,13.007959275880884,13.243562,15.595221,13.890131,11.526178,13.232044757451892
Clear Sky,14.780414595333331,13.352870516200127,13.539947509844144,15.102552,13.732525,13.717723,14.453124,15.677083749318523
Clear Sky,14.788507927333333,14.388985527513883,15.291264171350315,13.708547,14.527942,11.267742,13.243632,13.828236204207776
