Regime,Model,Absolute Error (kW)
Clear Sky,CNN,1.7615436910666666
Clear Sky,CNN,1.3301204763999994
Clear Sky,CNN,0.9870109729333332
Clear Sky,CNN,0.22944430660000004
Clear Sky,CNN,0.059691782466666066
Clear Sky,CNN,0.4206941678
Clear Sky,CNN,0.620299435
Clear Sky,CNN,3.6490023442
Clear Sky,CNN,3.7933551762
Clear Sky,CNN,3.9116839543999995
Clear Sky,CNN,3.7820143961333335
Clear Sky,CNN,3.119475896066666
Clear Sky,CNN,2.5418818695999996
Clear Sky,CNN,2.012859370466667
Clear Sky,CNN,1.1024741284666648
Clear Sky,CNN,0.028948034866667527
Clear Sky,CNN,0.8394176116666667
Clear Sky,CNN,1.3933408113333332
Clear Sky,CNN,2.095968499333331
Clear Sky,CNN,2.7718416020000003
Clear Sky,CNN,3.2839026413333343
Clear Sky,CNN,3.8637579086666687
Clear Sky,CNN,4.078991698666666
Clear Sky,CNN,4.670734105333329
Clear Sky,CNN,4.779172798666668
Clear Sky,CNN,4.726669894666665
Clear Sky,CNN,4.588578984666668
Clear Sky,CNN,4.417105219333333
Clear Sky,CNN,4.051443054666663
Clear Sky,CNN,3.470649908000002
Clear Sky,CNN,3.081986476666664
Clear Sky,CNN,2.7427169753333374
Clear Sky,CNN,2.4979619399999997
Clear Sky,CNN,2.1872449713333317
Clear Sky,CNN,2.0742792266666648
Clear Sky,CNN,2.3843616139999995
Clear Sky,CNN,2.1561886953333307
Clear Sky,CNN,2.181914686666669
Clear Sky,CNN,2.140631214666662
Clear Sky,CNN,2.3469083059999996
Clear Sky,CNN,3.1755322066666665
Clear Sky,CNN,3.8673513720000017
Clear Sky,CNN,3.8850080106666702
Clear Sky,CNN,3.879831493333331
Clear Sky,CNN,3.736226013333333
Clear Sky,CNN,3.6506921479999974
Clear Sky,CNN,2.9252358800000025
Clear Sky,CNN,2.7031541820000005
Clear Sky,CNN,3.0980550979999997
Clear Sky,CNN,3.1309701086666664
Clear Sky,CNN,3.2489236639999994
Clear Sky,CNN,3.2365857233333344
Clear Sky,CNN,3.203201044
Clear Sky,CNN,3.0716699883333334
Clear Sky,CNN,3.051708393
Clear Sky,CNN,2.6053670706000007
Clear Sky,CNN,2.219568913066667
Clear Sky,CNN,1.4162528238000003
Clear Sky,CNN,0.9933314179999999
Clear Sky,CNN,0.5684686518666668
Clear Sky,CNN,0.16001947840000003
Clear Sky,CNN,1.084606403351601
Clear Sky,CNN,1.5286761034275986
Clear Sky,CNN,1.9061439963291638
Clear Sky,CNN,2.1058423032906575
Clear Sky,CNN,2.3217611331918624
Clear Sky,CNN,2.8390237505586056
Clear Sky,CNN,2.664458669622329
Clear Sky,CNN,2.0270979690399002
Clear Sky,CNN,2.623195185527962
Clear Sky,CNN,2.120846762541097
Clear Sky,CNN,1.4996920306925752
Clear Sky,CNN,0.6882550470769058
Clear Sky,CNN,0.09566687237675353
Clear Sky,CNN,0.009644363932814315
Clear Sky,CNN,0.1454092198685828
Clear Sky,CNN,0.30763489192478843
Clear Sky,CNN,0.020373617004366906
Clear Sky,CNN,0.2796661191287235
Clear Sky,CNN,0.09503304173849969
Clear Sky,CNN,0.24424237795892623
Clear Sky,CNN,0.8012112020064386
Clear Sky,CNN,1.6037632527824606
Clear Sky,CNN,0.08779109142512098
Clear Sky,CNN,1.185195497427788
Clear Sky,CNN,0.46356680377111914
Clear Sky,CNN,0.979913257663064
Clear Sky,CNN,0.9518413235694005
Clear Sky,CNN,0.5289451444923152
Clear Sky,CNN,1.0382806788280092
Clear Sky,CNN,0.8463545744930911
Clear Sky,CNN,2.518297656068249
Clear Sky,CNN,1.8135749231800737
Clear Sky,CNN,0.9413838496814542
Clear Sky,CNN,1.3234742827133807
Clear Sky,CNN,1.1829203425539667
Clear Sky,CNN,0.7001500725864354
Clear Sky,CNN,0.8136047899146774
Clear Sky,CNN,1.1671524683377914
Clear Sky,CNN,0.18576564566748033
Clear Sky,CNN,0.013581576628675762
Clear Sky,CNN,0.8020063882699251
Clear Sky,CNN,0.5970468045876078
Clear Sky,CNN,0.9028452915854697
Clear Sky,CNN,0.8613816706379156
Clear Sky,CNN,0.8842606513149773
Clear Sky,CNN,0.6132002886081929
Clear Sky,CNN,0.378618771143314
Clear Sky,CNN,0.2782905739578987
Clear Sky,CNN,1.5769341030549964
Clear Sky,CNN,2.7815040061601457
Clear Sky,CNN,4.081296624811512
Clear Sky,CNN,5.048888776718632
Clear Sky,CNN,5.477633097605931
Clear Sky,CNN,5.18626497463635
Clear Sky,CNN,4.976525644280176
Clear Sky,CNN,4.798849613654939
Clear Sky,CNN,5.251221206680123
Clear Sky,CNN,4.549324030327549
Clear Sky,CNN,4.274851625754598
Clear Sky,CNN,4.290253958247334
Clear Sky,CNN,2.550823355277993
Clear Sky,CNN,2.9076559225721645
Clear Sky,CNN,2.353213830990647
Clear Sky,CNN,2.623659257843144
Clear Sky,CNN,1.911699524898129
Clear Sky,CNN,1.2196210338129205
Clear Sky,CNN,1.9553641637648873
Clear Sky,CNN,0.9819062701614918
Clear Sky,CNN,0.7569932098835892
Clear Sky,CNN,0.19720433372616242
Clear Sky,CNN,0.7725571313118493
Clear Sky,CNN,1.5477614173335112
Clear Sky,CNN,0.6923079245415629
Clear Sky,CNN,0.7936227269895895
Clear Sky,CNN,0.8464812384406315
Clear Sky,CNN,0.31970242044276986
Clear Sky,CNN,1.273205097000968
Clear Sky,CNN,0.6779779208303687
Clear Sky,CNN,0.5778307633717539
Clear Sky,CNN,0.14741141449267658
Clear Sky,CNN,0.5695447099761743
Clear Sky,CNN,0.554171572692649
Clear Sky,CNN,0.1568606309121492
Clear Sky,CNN,0.07081827466257451
Clear Sky,CNN,0.46377192062376515
Clear Sky,CNN,0.4068831094025036
Clear Sky,CNN,0.021379579751746647
Clear Sky,CNN,0.5487170148402623
Clear Sky,CNN,0.6207570936045652
Clear Sky,CNN,0.8348442991515963
Clear Sky,CNN,0.33056481343617516
Clear Sky,CNN,0.5759575996997626
Clear Sky,CNN,0.8725111787266884
Clear Sky,CNN,0.6484449772179319
Clear Sky,CNN,0.5504965577135608
