P_st_pu,I_F_PV
0.44349454359406076,0.044224869157643204
0.4580143572641511,0.04259434664669465
0.4692002251956997,0.014544368118828694
0.4769934275990267,0.0030688424151331943
0.48135353438144346,0.00840798451359719
0.4822580817316362,0.015430569299700547
0.4797024132450718,0.032998220642768986
0.473699648619112,0.02617880262971358
0.4642807745459145,0.02715404932454993
0.4514948774400487,0.029014913115632212
0.43540956368413153,0.049158409120916936
0.41611166268234706,0.05599573999131548
0.3937083619492814,0.04486231366425271
0.36832902787948185,0.018127108600091223
0.3401281587318389,0.002909227293217761
0.3092902277535536,0.004827256043946482
0.27603780336646294,0.029358192987990746
0.240645592507058,0.05280199407649444
0.2034656391325775,0.030909987629088365
0.16497470786912738,0.035872408854098904
0.12586847945583565,0.0721005507238142
0.08709703947545358,0.17017538828810008
0.050997473074649385,0.31058431337996145
0.021128115480283583,0.36631269659915305
0.010288932655772609,0.30914076622225667
0.03473155261337595,0.09959237615685647
0.06839204481034286,0.0595289855817558
0.10615609547079227,0.04633580371579474
0.14528822221900867,0.03704732806722055
0.18431196037126052,0.019638441582222246
0.22235129314170202,0.011482532679748025
0.2588324314168319,0.005433069449087429
0.29334647681164305,0.0047144508919992785
0.32558242599303694,0.00036546985446186167
0.355292502070041,0.0009608233269159614
0.38227327765525515,0.002251274761426516
0.40635495351349227,0.0025789448454623188
0.4273950523495023,0.0001791139588824835
0.4452746196246266,0.000914165244543055
0.4598958928106138,0.0021113024734912738
0.47118085067475984,0.004404273651859006
0.4790703142967539,0.006449167480888362
0.48352339695901736,0.007949620984452278
0.48451718099414764,0.00930978363487657
0.48204655793725715,0.011453023025856096
0.4761241947138624,0.013435785628122943
0.46678061991155967,0.015685324660187967
0.45406444886921987,0.01826167380099454
0.43804279175048105,0.02160946041743913
0.41880193732554494,0.025235499253634892
0.39644845744515594,0.01937856590655613
0.3711109784005177,0.007575118035699402
0.3429430522906711,0.0023491288778569
0.31212786131508913,0.004300926579500854
0.27888609314853025,0.015795689646565327
0.24348953387345154,0.027755331435796306
0.20628539593002337,0.026021727019963723
0.1677419229688587,0.035786646271606035
0.12853872713788927,0.06288319126668951
0.08959045618813358,0.12446408480241716
0.05317098198130493,0.23612059003992783
0.02269860546727331,0.3173583751145023
0.01051607558296749,0.5544749424216804
0.03516407498595569,0.18097212895316386
0.06897892490391778,0.10764018382812726
0.10686878837282504,0.08291883404138976
0.14611433289363132,0.06634084491032544
0.18524646827835103,0.034868484183381454
0.22339237958935312,0.020036302313448676
0.2599796144195878,0.009013385417061377
0.2945997429312046,0.007717330223858487
0.32694180294974756,0.0004806457423866233
0.3567578369513962,0.0009187817065917623
0.3838441167512719,0.0028852462625916574
0.40803047521882696,0.003344224590563338
0.4291740292689688,0.001580981414441454
0.44715539752055367,0.0031915041296660717
0.4618763796995632,0.0038209201731945757
0.47325851215464465,0.0009158257178641582
0.4812421726933497,0.0019738433088810933
0.4857860326024139,0.003222504331917689
0.48686673419277177,0.003943828795847056
0.484478730268118,0.006462784097147409
0.47863424800943266,0.0034514426567986167
0.4693633707717459,0.0021168198948771193
0.4567142556787181,0.0008386019897333507
0.4407535296715288,0.003172301474552072
0.4215669542496121,0.002314934773669968
0.39926049970557226,0.0011056148322932254
0.3739620677714448,0.00659492976838657
0.34582428269329224,0.011395928596119077
0.31502905929621516,0.015530381099753824
0.28179523883263075,0.023125614815485234
0.24639174262525837,0.031948463489142986
0.20916105408157024,0.03605516169299841
0.17056310177011016,0.04802589606446434
0.13126187725988495,0.07134753943811441
0.09213757633456393,0.11896058663049905
0.055403278550998906,0.2140346714830249
0.02434007699507913,0.32588756506582345
0.010785367369556917,0.5471401025236285
0.03566759884222318,0.17946026284266514
0.06965273776336983,0.10671866419437095
0.10767708282243121,0.08214301395891715
0.14704095143653273,0.06556151278941325
0.18628430246894068,0.04223528237305805
0.2245383442578041,0.030936818739062157
0.26123239123707476,0.022741130734313768
