P_phys,I_F
0.6598120563181142,0.004731211027031323
0.6483933367657226,0.02617854321800243
0.6323897446989573,0.011454951559908395
0.6119856542224066,0.02131713817862395
0.5871353357785711,0.021612079442613143
0.557741659372853,0.028416973807836053
0.523620929045482,0.11378617928822697
0.4845248443242244,0.06779491336932764
0.4405891176155855,0.03441020969494184
0.39163075178577533,0.06522174960858744
0.3372618265929646,0.06929190954942922
0.27718501725072586,0.11179288725711173
0.21109983650572245,0.20498633706886002
0.16066520621407956,0.6166634867884057
0.2173378088755998,0.14328656674944582
0.2731328079592024,0.2011164355878429
0.32672028704391753,0.03201512973261537
0.3771959414485692,0.09889667332756143
0.4240857472682346,0.24159482775534466
0.4670562998500597,0.14135243550208668
0.5059118917668325,0.05637329381349649
0.5404449817401427,0.04649901384796963
0.570804748619388,0.25602864775534323
0.5968688916191565,0.15306797315262322
0.6190402838702962,0.15963879071770556
0.6367464034326998,0.12521268397311516
0.6503268779850724,0.08304216355752242
0.6598212492190467,0.009734815244723586
0.6654697833765795,0.015060959490204237
0.6667610127926177,0.023988683228864625
0.6639349649110392,0.020050685336025824
0.6568880890189357,0.0168513318021201
0.645719206780824,0.004907583388888109
0.630191753344527,0.02869702359675229
0.6101863625366019,0.06232542239344274
0.5857199839417432,0.04132470217625656
0.5569687987219931,0.010011424954202883
0.5235054769104905,0.012607857947917567
0.4851175623370556,0.005007838522221372
0.44189564022428784,0.03609036107668066
0.39366726029041776,0.018496817065325265
0.3398988110202185,0.016461566097411517
0.2803685399106728,0.02383043828356345
0.2146956397639705,0.060780017332773426
0.16037223749563256,0.0044372841440460135
0.21668879736024452,0.0478844310640919
0.2722844652411129,0.0547095123380496
0.3256994187400167,0.011097905237181085
0.37603334553936774,0.039339298000501885
0.42296050623345843,0.06520803320189424
0.46598702757802546,0.06196616582208063
0.505072402437666,0.1802898164088504
0.539991622005035,0.09278992907992824
0.570721506449574,0.2796009876738072
0.5974234843121379,0.1947699493311314
0.6204149645450097,0.02057697139137063
0.639084677058466,0.09729155577793555
0.6534340466827477,0.05028762516223327
0.6637870829766579,0.07108372959305201
0.6699447660078534,0.02479342036512755
0.6718498092959629,0.05978681491769505
0.6693930382861727,0.04411056902847895
0.6627925098879702,0.05929817548269916
0.6518493229708,0.06259603949154088
0.6365135966174147,0.01782324042817253
0.6166565178717488,0.02418636108344128
0.5923303953275735,0.0441348032784514
0.5633758889176896,0.0036760694579496276
0.5297131994875754,0.02865620100458172
0.4909860965332504,0.09947608628909853
0.44743424506317697,0.11610101299336667
0.39877312788903696,0.028497316192429546
0.34461277770283044,0.012070335344494245
0.2849551367931402,0.07285958358521694
0.21967316367971212,0.00671466898132495
0.1604433779510562,0.3414046619891905
0.21655139518300473,0.027661441857844665
0.2718960501237576,0.06790883462614067
0.32497370986372437,0.16748710092772473
0.3750461688064059,0.1485720977851813
0.421560694411097,0.28215271931700614
0.4642606116458248,0.06598708098917781
0.5030355174147586,0.20322675517751096
0.5378236388351303,0.3108614351399109
0.5682133904018782,0.08968938679466205
0.59480894506487,0.19703769434569257
0.6173737354363519,0.06960078192316983
0.635786688872614,0.03465401319294377
0.6503151305667245,0.18575984006251442
0.6605845574372424,0.2531970444912695
0.6671103005026933,0.39465468772209855
0.6692889493416477,0.11007408774973534
0.6675037923251982,0.14846377036245367
0.6612445034389018,0.08225385240990192
0.6507371084164149,0.016873452864947864
0.6359023907238264,0.014791584513672398
0.6165446908922239,0.016004885123813373
0.5927241831236639,0.010068715090653806
0.564236011032433,0.01619410095903942
0.5311495069080311,0.041282935490683494
0.49302542422328727,0.019189873728764937
0.4499167457234421,0.0647014934699509
0.4016584064872395,0.037497723585248055
0.3479960757276222,0.008676192388192937
0.28880377404134255,0.010341043290917343
0.22461468484983982,0.040392817718382476
0.1625393238246448,0.019005563790081875
0.21885754356295198,0.005819195328023145
0.27433638075337236,0.019262796150144285
0.3276355565226218,0.00944295272953433
0.3779069493162946,0.018920019590045425
0.4247110312177961,0.009305438929120315
0.4676993600314484,0.012813108677114151
0.5067322780326095,0.014737262751588409
0.5418715830446498,0.01174389026341076
0.5728121677514141,0.016410470611470017
0.5996530562066302,0.016730147876810438
0.6226623193030985,0.018744437299775388
0.6414504817800654,0.020572177947565166
0.6562048921195099,0.012700680011417838
0.6666210360249919,0.020315326354044712
0.6731345330187796,0.013468985059029829
0.6750869394242323,0.012699770507803864
0.6729644163996139,0.010723689922227516
0.6666777580564357,0.015780956851553216
0.6558897555248172,0.005794530444524777
0.6406448510212069,0.02446107794684152
0.6211242230741351,0.017765474900778466
0.597129451343479,0.015421983470432943
0.5686450681102455,0.05983462728632826
0.5354776581967006,0.1334251213388191
0.497335250780072,0.06938369872016024
0.4544123393974505,0.01950125177797175
0.4064265385910423,0.13186179226257974
0.35303719482371065,0.08690861095233562
0.29411140190794594,0.12173499050296661
0.23012776840006283,0.04966090726292659
0.16424604533484524,0.0404754470137459
0.22090599502046404,0.02785959168520077
0.27681453107483267,0.1399114238836684
0.33065075204675476,0.07950011758899028
0.3816126978647023,0.039821346124425776
0.4290993814008735,0.311559181964161
0.47296004789516166,0.02015139165862264
0.5129709557118942,0.07501620955047948
0.548947344622944,0.005757184541800943
0.5808053766857499,0.07267298170121604
0.6085631611995566,0.2516704416626909
0.6322597833210324,0.14283633754580102
0.6517420634831761,0.07306549982894822
0.6669219481574136,0.022162871118953858
0.678063513491258,0.049386958840519316
0.6847696070601712,0.017916968184279135
0.6871050617869676,0.05910780964694221
0.6850919848936153,0.03533056410667791
0.6789945440680399,0.037987281589610705
0.6683865628218697,0.046791891485221754
0.653235887614272,0.04294557589982927
0.6336159856423916,0.041978646362336086
0.6094448683041714,0.08404511841820968
0.5807418980781495,0.05533466529769295
0.5471462761541922,0.024448779760863393
0.508698836598416,0.06611647208977688
0.4649429979139271,0.017951226754887493
0.41598219629791383,0.027101927693257432
0.36168354093361116,0.0992533165294067
0.3020128006884621,0.0328211199893149
0.167175851205338,0.12845973883589848
0.22432929761236536,0.09425297813179713
0.2807125640945182,0.06332133983109155
0.3350762818080356,0.08266826010224332
0.3864877623069862,0.1326381796190298
0.43453492593584825,0.07507388201843422
0.47877085769416844,0.156432349387986
0.5191367991415888,0.4791532686010641
0.5553619031108497,0.3193217174637914
0.5874806788287654,0.049708676493567236
0.6153290493752369,0.15773357055757622
0.6391350702174736,0.13449803892708667
0.6586531364928816,0.5050889097088576
0.6740401847557458,0.4008456199761649
0.6851591788390619,0.22321308899944287
0.6921588990063605,0.13666302786886791
0.6947587155529649,0.08806706948816732
0.6930953176154168,0.06619074395021926
0.6871096449404958,0.05416540995857638
0.6766673411085744,0.22856448269761023
0.6618682298190808,0.2744867294497109
0.6423472994082196,0.09001553494283031
0.618177176019359,0.029790162670998925
0.5893776244203516,0.08109375425802341
0.5556064880500542,0.4606886458193324
0.5169572213179547,0.03767633360747881
0.47315981067779056,0.028731816065758135
0.4241070833959705,0.09837884966733468
0.3696234493186452,0.051226826965682676
0.3097089407796746,0.05909577193603166
0.24487504943024768,0.09943500480098591
0.17523204589805716,0.14116936835584945
0.16997818335967763,0.12542358037153906
0.22748561386032184,0.09523840083439257
0.28422428194286137,0.06604052664493255
0.33893423273167006,0.04982638862600496
0.39071811059868106,0.0371428836342461
0.4390407622812144,0.027929412902812017
0.48366988637753294,0.022228865422175424
0.5242844369116544,0.021508501735421317
0.5607722816618987,0.015600403171976524
0.5930540161671152,0.011722728280045521
0.6213343214050233,0.010736321761409652
0.6452938854574756,0.006032453286410972
0.66489307584605,0.007157712875185906
0.6803268898819341,0.0018711135781387036
0.6915181206825778,0.0013080954877028607
0.6982882319259223,0.0030300427473000957
0.7007688530142013,0.005978556926108534
0.698792244248857,0.002738850515854923
0.6925425238232552,0.012876092348617961
0.6816091973761251,0.014410854348564529
0.6664110189061065,0.0045243930278994525
0.646655799346981,0.00814493930357575
0.6222133894658665,0.015231902933142532
0.5932017388121364,0.01727142791025237
0.5593899808470663,0.018043232701114312
0.5206236053784496,0.029313125593287914
0.47697421675270624,0.024912042685056993
0.42819739540623586,0.03902069154995873
0.37405717751719963,0.11776178288583666
0.31458561041669536,0.03592273467096552
0.2500957065858691,0.0674967054722807
0.18076906713131125,0.14500853774703124
0.17143853075215837,0.45597762520953106
0.22874408930198833,0.16419811760786268
0.2852257466159292,0.14844428923575018
0.3394920004796827,0.03738609137022663
0.3907720930774533,0.03565256694583797
0.43844890026177386,0.02260863763902543
0.48247884037914346,0.034880999795828614
0.5227279067215173,0.018093171937113885
0.5589537134090742,0.08273602690482938
0.5909760732042139,0.15512333899278372
0.6188785728636815,0.2996868199218873
0.6428229955335264,0.025528413119577875
0.6627191914468066,0.00804849824598033
0.6779357268232423,0.1289919915754341
0.6893671816359298,0.22516453511988402
0.6962714353998155,0.17073522861576956
0.6990274837682499,0.03232543675871215
0.6973927205444602,0.11358494959409554
0.6913345241782327,0.14341999907553823
0.6806291073355585,0.04518716153506009
0.665751686115541,0.01095796873767784
0.646577395563984,0.008029176321484565
0.6224865320421655,0.021924509489010334
0.5938192703417707,0.013593106732944874
0.5604242996601969,0.03363987024159799
0.5221846281135807,0.037774514368295015
0.47905709832721555,0.03859576639564827
0.4308815320808231,0.06277682512178576
0.37744552931394787,0.022667840215241045
0.3184979904136007,0.028309596331574188
0.2545493134266776,0.05643679440732133
0.18554374246418906,0.05925099339370821
0.17208795704853375,0.278958871905062
0.22927248280801707,0.23584923729509302
0.28568212413955657,0.03272300842516562
0.33999727043115796,0.06198192417040175
0.3913533800555827,0.08127464628860863
0.4393043780986286,0.034283699984561176
0.48354108038124893,0.0302122063116404
0.5239287858982138,0.04316337278438792
0.560325465680749,0.13101409865619396
0.5925547019223474,0.047550459185875874
0.6206068413303949,0.07043626377607629
0.6446657362168255,0.0273654656528913
0.6642988473075916,0.006963038466011928
0.6797506729154319,0.07908361483665954
0.6909590036279989,0.4437865263533567
0.6978700945076289,0.2760691200749333
0.7007923278294705,0.19652592258523136
0.6991807153573534,0.3650947318509415
0.6930507243630823,0.1891608938931141
0.6827562625497964,0.02218906289490441
0.6679553399945882,0.16431556447343876
0.6487553423848188,0.27414143936037066
0.6249359614450634,0.15978015989179786
0.5966236710435981,0.0059821484552781455
0.5635819455307585,0.013357275595259536
0.5257483939557411,0.05947786947880084
0.4829311763918291,0.07597715954695464
0.43515581771101375,0.039744630942667815
0.38202453844293144,0.030244618316573896
0.32347618724934013,0.09488409683285104
0.2598808399024132,0.18188348588440056
0.1912785620668467,0.031852497121725644
0.17594543372184762,0.15799162077728068
0.23368993861650705,0.3574475812349867
0.2905999061976017,0.014853987551016804
0.3452169816261564,0.22844825851120668
0.39687502523772505,0.029547043221262722
0.4449895688606992,0.016734817133600775
0.48932826319148376,0.3875651743154876
0.5294914947604835,0.372194536406391
0.5655803913232642,0.20512328968970805
0.5974211762048434,0.15487857073166394
0.6250192773418679,0.0035274659977437566
0.6481286773923981,0.010757797867325619
0.6671094846380717,0.002563573324874521
0.6816617749338962,0.006264257874068927
0.6920891877267857,0.008394580293134698
0.6982585915433646,0.006582561752800537
0.7000931834040666,0.006968227008021767
0.6976663220270466,0.0032024006120464584
0.6913159681564525,0.004736238350581346
0.6808423742134654,0.002923678698316357
0.6660159813481635,0.006308305121775131
0.6469681425694523,0.01592240478924649
0.6234770036747915,0.018956587914125713
0.595764737289969,0.02821610283496298
0.5633025618820755,0.011787258509135349
0.5260900759576652,0.027985919734402176
0.48396552998324355,0.025384373404715225
0.4368550800731545,0.03403062535886564
0.38443299324040214,0.03912409246096252
0.32658236251936773,0.053877821229698815
0.26365404401196835,0.08596328900194465
0.1956520521399861,0.11639900842223713
0.17748196494369062,0.0358085967911483
0.23515751084907402,0.014506300206052062
0.29199422464119973,0.04068763994701768
0.3468073293070618,0.02213961477025174
0.39877829069739235,0.0013595991107681114
0.4472253937748402,0.026762352474844615
0.49204138752233717,0.35150634786009954
0.5328295519612263,0.2592181131228143
0.5695477263487567,0.2564405697006739
0.6021234308228456,0.01387605509118109
0.630632285739686,0.034250651375148704
0.6550590327212307,0.006383226131030205
0.6753140016872641,0.017623231416767974
0.6913072204064743,0.06650041170150141
0.7030006885159776,0.04434598158448897
0.7106579667260692,0.03671062494103224
0.7138909077891916,0.07923905117310096
0.7127326044568356,0.07468619882517374
0.7072220693635031,0.060565465295496904
0.697233742579236,0.03039234213544182
0.6826579494203193,0.06485737393071925
0.663444158028015,0.03135226440503131
0.6395525142457671,0.09389526139357716
0.6109232714043682,0.036433771753345875
0.5774325320542977,0.06572270955050534
0.5391577572108641,0.058686989765754254
0.49596327596431117,0.03556281844361636
0.4475962803136727,0.03424338556458247
0.3940938540623587,0.009756706219813411
0.33529600734878023,0.01710790483240144
0.18024125891632453,0.12605065745960176
0.2382007309505373,0.09609676449957012
0.2953490220131303,0.058110355078608726
0.3503513907553624,0.09709796038069797
0.40246194647632705,0.08369519208877112
0.4511089901887662,0.10944196702939514
0.49598580886553023,0.06442123350323424
0.5369063875506042,0.06242424685054659
0.5738069539322431,0.02294591111880208
0.6064988508260678,0.05987747689847734
0.6350552791717495,0.2085198818432538
0.6594466894342425,0.03958280048664694
0.6795860896556206,0.10313169885997629
0.6954551470312974,0.35965610416220184
0.7071219763134088,0.10994220611488847
0.7144595022809428,0.28012320468584484
0.7174786049337036,0.3999070682554248
0.7161392582340146,0.26810148785074284
0.710398075811208,0.4131394035634868
0.7002193235153404,0.0050862240941766486
0.6857957067356596,0.3196931562312155
0.666828162835808,0.18777043094039836
0.6430532489224832,0.04804781796194428
0.6146837849279493,0.0508463445579389
0.5816229069482677,0.07858582317195421
0.5437525465241381,0.23393436752273641
0.5007351257626501,0.03329014325177506
0.4527713462720194,0.0071702517543870085
0.3995856051846023,0.13432401390447235
0.34114033799868715,0.28502173085201454
0.2776867197722062,0.10450116642050486
0.2091177341156159,0.24385663742803831
0.18247386866056386,0.11317313823705517
0.24034074936760738,0.10180093809542176
0.2973236476161173,0.05727256246407803
0.35216712611886547,0.043973295135581014
0.4039895685979076,0.04117632311656738
0.4523211537273177,0.03075501322308104
0.496802261543377,0.027165027775803433
0.537311642310462,0.01818700520869652
0.5737107502137081,0.04706943684257977
0.6059351788546004,0.32750869864637255
0.6340152790459344,0.2559480249573072
0.6579413797822834,0.3607370380440161
0.6775707455869078,0.023074225179856415
0.6930350864723673,0.03909412917734475
0.7042610872652663,0.1982487108866683
0.7118262981833977,0.3660790281673218
0.7146252195456749,0.13980931488419457
0.7132914135512696,0.0017330924593405928
0.7076490590567256,0.003949150653934189
